Topic,Question Text,Options,Answer,Difficulty Level,Bloom's Taxonomy Level
Arrays,What is the time complexity of searching an element in a sorted array using binary search?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",B,Medium,Apply
Linked Lists,Which of the following is true about a doubly linked list?,"A. It can only be traversed in one direction, B. It contains two pointers, C. It is always circular, D. It does not allow deletion",B,Easy,Remember
Queues,What data structure is typically used to implement a queue?,"A. Array, B. Linked List, C. Stack, D. Tree",B,Medium,Understand
Trees,What is the maximum number of children a node can have in a binary tree?,"A. 1, B. 2, C. 3, D. Unlimited",B,Easy,Remember
Graphs,Which traversal algorithm visits all the vertices of a graph exactly once?,"A. Depth-First Search, B. Breadth-First Search, C. Dijkstra's Algorithm, D. Prim's Algorithm",B,Medium,Apply
Hashing,What is the purpose of a hash function in hashing?,"A. To generate random numbers, B. To compress data, C. To convert data into an index, D. To encrypt data",C,Easy,Understand
Heaps,What is the main advantage of a max heap over a min heap?,"A. Faster insertion, B. Faster deletion, C. Quick access to the minimum element, D. Quick access to the maximum element",C,Medium,Apply
Sorting,Which sorting algorithm has the worst-case time complexity of O(n^2)?,"A. Merge Sort, B. Quick Sort, C. Bubble Sort, D. Insertion Sort",C,Medium,Understand
Recursion,What is the base case in a recursive function?,"A. The case with the smallest input, B. The case with the largest input, C. The case with average input, D. The case with no input",A,Easy,Remember
Dynamic Programming,What is the key idea behind dynamic programming?,"A. Divide and conquer, B. Greedy approach, C. Memoization of subproblems, D. Random selection",C,Medium,Apply
Graph Algorithms,What is the purpose of topological sorting in directed acyclic graphs (DAGs)?,"A. Finding cycles, B. Detecting connected components, C. Sorting vertices based on dependencies, D. Finding shortest paths",C,Medium,Analyze
Hash Tables,What is the load factor of a hash table?,"A. The number of elements in the table, B. The ratio of occupied slots to total slots, C. The size of the hash function, D. The number of collisions",B,Easy,Understand
Graph Representation,Which data structure is commonly used to represent a graph?,"A. Array, B. Linked List, C. Stack, D. Queue",A,Easy,Remember
Sorting,What is the time complexity of the quicksort algorithm in the average case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Medium,Apply
Dynamic Programming,What is the overlapping subproblem property in dynamic programming?,"A. Subproblems share subsubproblems, B. Subproblems are unrelated, C. Subproblems have common elements, D. Subproblems have different inputs",A,Medium,Analyze
Stacks,Which operation removes an element from the top of a stack?,"A. Push, B. Pop, C. Peek, D. IsEmpty",B,Easy,Remember
Trees,What is the height of a balanced binary search tree with 8 nodes?,"A. 2, B. 3, C. 4, D. 5",B,Medium,Analyze
Arrays,What is the time complexity of inserting an element at the beginning of an array?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",A,Easy,Remember
Arrays,What is the time complexity of merging two sorted arrays of lengths m and n?,"A. O(m), B. O(n), C. O(m + n), D. O(m log n)",C,Medium,Apply
